school_type,average_act
Regular School,22.0
Regular School,19.9
Regular School,18.5750915750916
Regular School,19.029304029304
Regular School,17.0
Regular School,21.1538461538462
Regular School,19.7
Regular School,19.3711843711844
Regular School,20.7875457875458
Regular School,23.0
Regular School,16.6
Regular School,15.6349206349206
Regular School,23.3028083028083
Regular School,22.1306471306471
Regular School,20.5
Regular School,16.6849816849817
Regular School,20.4945054945055
Regular School,22.6190476190476
Regular School,17.6
Regular School,22.008547008547
Regular School,20.0
Regular School,29.4
Regular School,18.8339438339438
Regular School,19.3
Regular School,18.3699633699634
Regular School,21.007326007326
Regular School,16.9
Regular School,21.0
Regular School,19.2735042735043
Regular School,20.1770451770452
Regular School,18.5
Regular School,17.4
Regular School,18.8583638583639
Regular School,19.957264957265
Regular School,17.979242979243
Regular School,20.0
Regular School,19.7
Regular School,22.5
Regular School,17.026862026862
Regular School,19.3
Regular School,18.0
Regular School,23.0586080586081
Regular School,23.4004884004884
Regular School,20.0793650793651
Regular School,21.1196581196581
Regular School,21.984126984127
Regular School,21.0561660561661
Regular School,22.008547008547
Regular School,18.9
Regular School,18.6630036630037
Regular School,20.9
Regular School,18.9
Regular School,17.5396825396825
Regular School,15.952380952381
Regular School,25.0
Regular School,20.5433455433455
Regular School,18.9072039072039
Regular School,20.3
Regular School,20.2258852258852
Regular School,22.9120879120879
Regular School,16.3
Regular School,20.1
Regular School,20.7
Regular School,17.2
Regular School,20.6898656898657
Regular School,21.3492063492064
Regular School,19.0
Regular School,21.6
Regular School,23.8644688644689
Regular School,21.4713064713065
Regular School,14.6825396825397
Regular School,19.8107448107448
Regular School,19.9
Regular School,14.7069597069597
Regular School,19.6
Regular School,19.3956043956044
Regular School,26.7704517704518
Regular School,19.8
Regular School,21.6
Regular School,21.5201465201465
Regular School,20.2991452991453
Regular School,18.2967032967033
Regular School,21.7643467643468
Regular School,21.5201465201465
Regular School,16.7582417582418
Regular School,24.1
Regular School,14.6
Regular School,20.0549450549451
Regular School,22.0
Regular School,18.5409035409035
Regular School,21.7887667887668
Regular School,22.7582417582418
Regular School,23.034188034188
Regular School,19.981684981685
Regular School,17.8815628815629
Regular School,19.5421245421245
Regular School,18.8
Regular School,18.0
Regular School,19.6642246642247
Regular School,17.8571428571429
Regular School,19.4688644688645
Regular School,21.0
Regular School,22.9
Regular School,24.2796092796093
Regular School,20.6
Regular School,22.1794871794872
Regular School,17.7
Regular School,21.7912087912088
Regular School,19.004884004884
Regular School,20.3
Regular School,22.9
Regular School,15.8
Regular School,20.982905982906
Regular School,19.0
Regular School,20.7
Regular School,20.6166056166056
Regular School,20.0793650793651
Regular School,17.3199023199023
Regular School,19.2246642246642
Regular School,23.1562881562882
Regular School,22.1794871794872
Regular School,20.8
Regular School,22.4481074481074
Regular School,19.6398046398046
Regular School,19.0
Regular School,19.0537240537241
Regular School,20.3
Regular School,18.956043956044
Regular School,20.4456654456654
Regular School,17.002442002442
Regular School,20.7
Regular School,18.6385836385836
Regular School,23.0830280830281
Regular School,17.7350427350427
Regular School,22.4
Regular School,26.5262515262515
Regular School,20.9145299145299
Regular School,20.8119658119658
Regular School,18.5653235653236
Regular School,23.3
Regular School,15.5616605616606
Regular School,21.2026862026862
Regular School,23.962148962149
Regular School,20.1
Regular School,21.3736263736264
Regular School,19.6
Regular School,20.3
Regular School,21.9352869352869
Regular School,19.2
Regular School,24.8168498168498
Regular School,20.8119658119658
Regular School,25.6471306471306
Regular School,20.1770451770452
Regular School,21.8620268620269
Regular School,21.4
Regular School,20.8
Regular School,21.4615384615385
Regular School,22.0818070818071
Regular School,18.0
Regular School,24.2063492063492
Regular School,20.5995115995116
Regular School,19.7374847374847
Regular School,19.2979242979243
Regular School,16.0
Regular School,20.7875457875458
Regular School,17.1
Regular School,20.8363858363858
Regular School,15.4151404151404
Regular School,16.2698412698413
Regular School,23.009768009768
Regular School,16.6
Regular School,21.4957264957265
Regular School,18.1
Regular School,18.0
Regular School,24.0
Regular School,22.8
Regular School,20.0
Regular School,20.0
Regular School,22.3992673992674
Regular School,21.0805860805861
Regular School,21.1
Regular School,19.981684981685
Regular School,22.4
Regular School,20.010989010989
Regular School,17.4664224664225
Regular School,16.4163614163614
Regular School,20.1
Regular School,24.0
Regular School,19.1758241758242
Regular School,20.6
Regular School,17.6
Regular School,18.5164835164835
Regular School,19.8595848595849
Regular School,18.2967032967033
Regular School,17.5152625152625
Regular School,16.5
Regular School,20.9
Regular School,19.8
Regular School,21.2759462759463
Regular School,20.2991452991453
Regular School,21.4713064713065
Regular School,21.2
Regular School,19.2979242979243
Regular School,14.9
Regular School,16.4652014652015
Regular School,18.1013431013431
Regular School,20.1526251526252
Regular School,20.7948717948718
Regular School,20.9340659340659
Regular School,19.7
Regular School,23.2051282051282
Regular School,15.0
Regular School,21.3736263736264
Regular School,22.2
Regular School,18.3
Regular School,22.7
